"source" "journal" "statcheck_journal" "year_published" "date_received" "period" "nr_nhst" "nr_errors" "nr_dec_errors" "perc_errors" "perc_dec_errors"
"A Person-by-Situation Approach to Emotion Regulation" "PS" 1 2013 2012-10-11 0 16 3 0 18.75 0
"A Picture's Worth" "PS" 1 2009 2009-01-31 0 2 0 0 0 0
"A Prospective Investigation of the Relationship Between Just-World Beliefs and the Desire for Revenge After September 11, 2001" "PS" 1 2004 NA NA 5 0 0 0 0
"A Prospective Study of Memory for Child Sexual Abuse" "PS" 1 2003 2002-01-04 0 4 0 0 0 0
"A question of belonging  Race, social fit, and achievement  EBSCOhost" "JPSP" 0 2007 2004-12-22 0 56 1 0 1.79 0
"A question of compensation  The social life of the fundamental dimensions o...  EBSCOhost" "JPSP" 0 2009 2007-08-23 0 64 0 0 0 0
"A random walk down university avenue  Life paths, life events, and personal...  EBSCOhost" "JPSP" 0 2011 2009-10-15 0 1 0 0 0 0
"A Rational Look at the Emotional Stroop Phenomenon  A Generic Slowdown, Not...  EBSCOhost" "JEPG" 0 2004 2002-10-15 0 32 4 3 12.5 9.38
"A Replication by Another Name" "PS" 1 2007 2006-06-26 0 1 0 0 0 0
"A role for memory in prospective timing informs timing in prospective memor...  EBSCOhost" "JEPG" 0 2013 2011-11-11 0 20 1 0 5 0
"A route to well-being  Intelligence versus wise reasoning  EBSCOhost" "JEPG" 0 2013 2012-04-06 0 3 0 0 0 0
"A scale distortion theory of anchoring  EBSCOhost" "JEPG" 0 2012 2011-02-18 0 22 1 0 4.55 0
"A Sex Difference in Mental Rotation in Young Infants" "PS" 1 2008 2008-04-16 0 4 0 0 0 0
"A Sex Difference in the Specificity of Sexual Arousal" "PS" 1 2004 2002-11-11 0 17 0 0 0 0
"A Short-Term Testing Effect in Cross-Language Recognition" "PS" 1 2012 2011-08-19 0 6 2 0 33.33 0
"A silent emergence of culture  The social tuning effect  EBSCOhost" "JPSP" 0 2010 2009-11-30 0 14 3 0 21.43 0
"A Simon Effect in Pigeons  EBSCOhost" "JEPG" 0 2005 2004-02-23 0 2 0 0 0 0
"A Single Exposure to the American Flag Shifts Support Toward Republicanism up to 8 Months Later" "PS" 1 2011 2010-12-13 0 18 3 1 16.67 5.56
"A social functional approach to emotions in bargaining  When communicating ...  EBSCOhost" "JPSP" 0 2008 2006-01-20 0 48 4 0 8.33 0
"A social psychological study of ethnonyms  Cognitive representation of the ...  EBSCOhost" "JPSP" 0 2007 2004-05-31 0 55 54 8 98.18 14.55
"A Spontaneous Self-Reference Effect in Memory" "PS" 1 2010 2009-11-06 0 13 0 0 0 0
"A stability bias in human memory  Overestimating remembering and underestim...  EBSCOhost" "JEPG" 0 2009 2009-02-10 0 48 1 1 2.08 2.08
"A status-enhancement account of overconfidence  EBSCOhost" "JPSP" 0 2012 2011-12-14 0 25 0 0 0 0
"A test of the circumvention-of-limits hypothesis in scientific problem solv...  EBSCOhost" "JEPG" 0 2012 2011-07-20 0 6 0 0 0 0
"A test of the extended intergroup contact hypothesis  The mediating role of...  EBSCOhost" "JPSP" 0 2008 2006-12-23 0 6 0 0 0 0
"A theory of dynamic occluded and illusory object perception  EBSCOhost" "JEPG" 0 2006 2005-11-14 0 45 2 0 4.44 0
"A Time-Based Account of the Perception of Odor Objects and Valences" "PS" 1 2012 2011-05-26 0 3 0 0 0 0
"A tri-reference point theory of decision making under risk  EBSCOhost" "JEPG" 0 2012 2011-04-07 0 14 1 0 7.14 0
"A two-dimensional model that employs explicit and implicit attitudes to cha...  EBSCOhost" "JPSP" 0 2008 2007-01-09 0 55 5 0 9.09 0
"A two-process view of Facebook use and relatedness need-satisfaction  Disco...  EBSCOhost" "JPSP" 0 2011 2010-05-12 0 11 0 0 0 0
"A Variable-Number-of-Tandem-Repeats Polymorphism in the Dopamine D4 Receptor Gene Affects Social Adaptation of Alcohol Use" "PS" 1 2010 2009-09-01 0 5 1 0 20 0
"A Word-Order Constraint in Single-Word Production " "PS" 1 2011 2010-10-14 0 8 0 0 0 0
"A Word-Order Constraint on Phonological Activation" "PS" 1 2008 2007-06-18 0 5 1 0 20 0
"A Wrinkle in Time" "PS" 1 2008 2007-07-18 0 31 2 0 6.45 0
"Ability, luck, and looks  An evolutionary look at achievement ascriptions a...  EBSCOhost" "JPSP" 0 2007 2006-06-21 0 90 11 2 12.22 2.22
"About Turn" "PS" 1 2009 2008-05-13 0 25 5 0 20 0
"Absolut® Memory Distortions" "PS" 1 2003 2001-09-20 0 4 0 0 0 0
"Absolute Pitch May Not Be So Absolute" "PS" 1 2013 2012-09-05 0 10 0 0 0 0
"Absorbed in Thought" "PS" 1 2011 2010-03-18 0 2 0 0 0 0
"Abstract Structural Representations of Goal-Directed Behavior" "PS" 1 2010 2009-07-11 0 4 0 0 0 0
"Accentuate the Negative" "PS" 1 2006 2005-10-18 0 9 0 0 0 0
"Acceptance is in the eye of the beholder  Self-esteem and motivated percept...  EBSCOhost" "JPSP" 0 2010 2008-08-25 0 59 25 1 42.37 1.69
"Accessibility Effects on Implicit Social Cognition  The Role of Knowledge A...  EBSCOhost" "JPSP" 0 2005 2004-05-25 0 36 2 0 5.56 0
"Accounting for the Richness of Daily Activities" "PS" 1 2009 2008-07-25 0 4 1 0 25 0
"Accuracy and artifact  Reexamining the intensity bias in affective forecast...  EBSCOhost" "JPSP" 0 2012 2011-09-19 0 41 4 1 9.76 2.44
"Accuracy and awareness in the perception and categorization of male sexual ...  EBSCOhost" "JPSP" 0 2008 2007-04-03 0 31 5 0 16.13 0
"Accuracy and consensus in judgments of trustworthiness from faces  Behavior...  EBSCOhost" "JPSP" 0 2013 2012-05-16 0 18 1 0 5.56 0
"Accuracy, error, and bias in predictions for real versus hypothetical event...  EBSCOhost" "JPSP" 0 2006 2005-09-01 0 34 3 0 8.82 0
"Acetaminophen Reduces Social Pain" "PS" 1 2010 2009-08-27 0 13 2 0 15.38 0
"Achievement goal promotion at university  Social desirability and social ut...  EBSCOhost" "JPSP" 0 2009 2007-06-19 0 26 1 0 3.85 0
"Across the thin blue line  Police officers and racial bias in the decision ...  EBSCOhost" "JPSP" 0 2007 2006-05-01 0 77 4 0 5.19 0
"Acting Intentionally and the Side-Effect Effect" "PS" 1 2006 2004-12-09 0 12 4 1 33.33 8.33
"Acting on Anger" "PS" 1 2013 2012-05-15 0 14 0 0 0 0
"Action Anticipation Through Attribution of False Belief by 2-Year-Olds" "PS" 1 2007 2006-07-07 0 1 0 0 0 0
"Action Can Affect Auditory Perception" "PS" 1 2007 2006-04-27 0 3 2 0 66.67 0
"Action Dynamics Reveal Parallel Competition in Decision Making" "PS" 1 2008 2007-06-01 0 4 0 0 0 0
"Action embellishment  An intention bias in the perception of success  EBSCOhost" "JPSP" 0 2011 2007-08-12 0 38 3 2 7.89 5.26
"Action Understanding in the Superior Temporal Sulcus Region" "PS" 1 2009 2008-08-05 0 4 0 0 0 0
"Activation of Face Expertise and the Inversion Effect" "PS" 1 2006 2005-02-01 0 7 1 0 14.29 0
"Active masks and active inhibition  A comment on Lleras and Enns (2004) and...  EBSCOhost" "JEPG" 0 2006 2004-09-03 0 15 0 0 0 0
"Actor-observer asymmetries in explanations of behavior  New answers to an o...  EBSCOhost" "JPSP" 0 2007 2006-11-28 0 34 1 0 2.94 0
"Acute Anxiety Impairs Accuracy in Identifying Photographed Faces" "PS" 1 2013 2012-09-21 0 6 0 0 0 0
"Acute Stress Modulates Risk Taking in Financial Decision Making" "PS" 1 2009 2007-11-30 0 14 2 0 14.29 0
"Adaptation to Faces and Voices" "PS" 1 2013 2012-06-29 0 22 0 0 0 0
"Adaptive reward pursuit  How effort requirements affect unconscious reward ...  EBSCOhost" "JEPG" 0 2012 2011-05-30 0 35 0 0 0 0
"Adding Small Differences Can Increase Similarity and Choice" "PS" 1 2013 2012-03-07 0 9 0 0 0 0
"Adjusting to death  The effects of mortality salience and self-esteem on ps...  EBSCOhost" "JPSP" 0 2010 2009-12-02 0 9 3 1 33.33 11.11
"Adolescent personality moderates genetic and environmental influences on re...  EBSCOhost" "JPSP" 0 2008 2007-03-19 0 6 0 0 0 0
"Adult attachment, the transition to parenthood, and depressive symptoms  EBSCOhost" "JPSP" 0 2003 NA NA 25 1 0 4 0
"Advance Preparation in Task Switching" "PS" 1 2004 2003-06-12 0 37 1 1 2.7 2.7
"Affect as information in persuasion  A model of affect identification and d...  EBSCOhost" "JPSP" 0 2003 2002-03-29 0 34 9 1 26.47 2.94
"Affective and cognitive meta-bases of attitudes  Unique effects on informat...  EBSCOhost" "JPSP" 0 2008 2006-10-13 0 41 9 0 21.95 0
"Affective divergence  Automatic responses to others' emotions depend on gro...  EBSCOhost" "JPSP" 0 2008 2007-10-23 0 34 16 5 47.06 14.71
"Affective Flexibility" "PS" 1 2008 2007-03-29 0 26 13 1 50 3.85
"Affective incoherence  When affective concepts and embodied reactions clash  EBSCOhost" "JPSP" 0 2008 2006-09-02 0 59 17 0 28.81 0
"Affective influences on self-disclosure  Mood effects on the intimacy and r...  EBSCOhost" "JPSP" 0 2011 2010-01-05 0 52 1 0 1.92 0
"Affective Influences on the Attentional Dynamics Supporting Awareness  EBSCOhost" "JEPG" 0 2005 2000-12-11 0 11 1 0 9.09 0
"Affective mediators of intergroup contact  A three-wave longitudinal study ...  EBSCOhost" "JPSP" 0 2011 2009-06-16 0 13 1 0 7.69 0
"Affective Signals of Threat Increase Perceived Proximity" "PS" 1 2013 2012-01-21 0 15 2 0 13.33 0
"Affirmation of Personal Values Buffers Neuroendocrine and Psychological Stress Responses" "PS" 1 2005 2004-11-29 0 25 2 0 8 0
"Affirmation, acknowledgment of in-group responsibility, group-based guilt, ...  EBSCOhost" "JPSP" 0 2011 2010-05-04 0 24 6 0 25 0
"Affirmed yet unaware  Exploring the role of awareness in the process of sel...  EBSCOhost" "JPSP" 0 2009 2008-05-07 0 45 19 9 42.22 20
"Age-Related Changes in Attentional Reference Frames for Peripersonal Space" "PS" 1 2013 2012-02-26 0 6 0 0 0 0
"Age, Race, and Implicit Prejudice" "PS" 1 2009 2008-05-06 0 6 0 0 0 0
"Agency and communion from the perspective of self versus others  EBSCOhost" "JPSP" 0 2007 2006-05-15 0 31 1 0 3.23 0
"Agency and the construction of social preference  Between inequality aversi...  EBSCOhost" "JPSP" 0 2011 2010-09-19 0 3 0 0 0 0
"Aggress to impress  Hostility as an evolved context-dependent strategy  EBSCOhost" "JPSP" 0 2009 2008-03-07 0 13 11 3 84.62 23.08
"Aging and Attentional Biases for Emotional Faces" "PS" 1 2003 2002-04-08 0 6 1 0 16.67 0
"Aging and emotional memory  The forgettable nature of negative images for o...  EBSCOhost" "JEPG" 0 2003 2002-02-11 0 72 10 0 13.89 0
"Aging and Wisdom" "PS" 1 2012 2011-12-28 0 10 1 0 10 0
"Aging Neuromodulation Impairs Associative Binding" "PS" 1 2005 2004-06-03 0 1 1 1 100 100
"Aging, Subjective Experience, and Cognitive Control  Dramatic False Remembe...  EBSCOhost" "JEPG" 0 2005 2003-08-12 0 24 1 0 4.17 0
"Agreeableness, empathy, and helping  A person × situation perspective  EBSCOhost" "JPSP" 0 2007 2006-03-30 0 49 3 0 6.12 0
"Alcohol and Aggression" "PS" 1 2007 2006-04-24 0 1 0 0 0 0
"Alcohol and Aggression Without Consumption" "PS" 1 2006 2004-11-17 0 9 0 0 0 0
"Alcohol and Group Formation" "PS" 1 2012 2011-09-23 0 6 2 0 33.33 0
"Alexithymia, Not Autism, Predicts Poor Recognition of Emotional Facial Expressions" "PS" 1 2013 2012-06-17 0 14 0 0 0 0
"All humanity is my ingroup  A measure and studies of identification with al...  EBSCOhost" "JPSP" 0 2012 2012-01-02 0 2 1 0 50 0
"All roads lead to Rome  The impact of multiple attainment means on motivati...  EBSCOhost" "JPSP" 0 2013 2012-04-10 0 41 1 0 2.44 0
"Alone but feeling no pain  Effects of social exclusion on physical pain tol...  EBSCOhost" "JPSP" 0 2006 2005-02-24 0 53 3 0 5.66 0
"Alone in a crowd of sheep  Asymmetric perceptions of conformity and their r...  EBSCOhost" "JPSP" 0 2007 2005-06-06 0 38 2 0 5.26 0
"Altering Context Speech Rate Can Cause Words to Appear or Disappear" "PS" 1 2010 2009-12-14 0 6 0 0 0 0
"Ambient belonging  How stereotypical cues impact gender participation in co...  EBSCOhost" "JPSP" 0 2009 2008-03-17 0 73 0 0 0 0
"Ambiguity in Social Categorization" "PS" 1 2004 NA NA 7 2 1 28.57 14.29
"Ambiguous Group Membership Is Extracted Automatically From Faces" "PS" 1 2009 2008-07-05 0 7 1 0 14.29 0
"Ambiguous Pronoun Resolution" "PS" 1 2005 2004-03-09 0 4 0 0 0 0
"American = White   EBSCOhost" "JPSP" 0 2005 2003-09-15 0 35 2 1 5.71 2.86
"Amodal Completion in Visual Search" "PS" 1 2004 NA NA 7 1 0 14.29 0
"Amputees “Neglect” the Space Near Their Missing Hand" "PS" 1 2010 2009-04-09 0 2 2 0 100 0
"Amygdala Responses to Emotionally Valenced Stimuli in Older and Younger Adults" "PS" 1 2004 NA NA 3 0 0 0 0
"An Adaptive Cognitive Dissociation Between Willingness to Help Kin and Nonkin in Samoan Fa’afafine" "PS" 1 2010 2008-12-03 0 14 2 0 14.29 0
"An additional antecedent of empathic concern  Valuing the welfare of the pe...  EBSCOhost" "JPSP" 0 2007 2006-02-20 0 27 2 0 7.41 0
"An Age-Related Deficit in Prefrontal Cortical Function Associated With Refreshing Information" "PS" 1 2004 2002-10-01 0 6 1 0 16.67 0
"An Ambiguous-Race Illusion in Children's Face Memory" "PS" 1 2007 2006-10-22 0 11 0 0 0 0
"An Attentional Mechanism for Selecting Appropriate Actions Afforded by Graspable Objects" "PS" 1 2008 2008-05-01 0 4 0 0 0 0
"An electrophysiological signature of summed similarity in visual working me...  EBSCOhost" "JEPG" 0 2013 2011-06-25 0 25 1 0 4 0
"An existential function of enemyship  Evidence that people attribute influe...  EBSCOhost" "JPSP" 0 2010 2009-04-27 0 36 6 0 16.67 0
"An inkblot for attitudes  Affect misattribution as implicit measurement  EBSCOhost" "JPSP" 0 2005 2004-08-30 0 38 2 0 5.26 0
"An Integration of Color and Motion Information in Visual Scene Analyses" "PS" 1 2011 2010-03-05 0 4 0 0 0 0
"An integrative lens model approach to bias and accuracy in human inferences...  EBSCOhost" "JPSP" 0 2012 2011-06-17 0 20 3 0 15 0
"An Online Measure of Thought Suppression  EBSCOhost" "JPSP" 0 2005 2001-07-17 0 3 0 0 0 0
"An unconscious desire for hierarchy  The motivated perception of dominance ...  EBSCOhost" "JPSP" 0 2007 2004-08-30 0 21 0 0 0 0
"An Upside to Adversity " "PS" 1 2013 2012-04-02 0 2 0 0 0 0
"Analogical and category-based inference  A theoretical integration with Bay...  EBSCOhost" "JEPG" 0 2010 2009-11-09 0 20 1 0 5 0
"Analysis of sensitive questions across cultures  An application of multigro...  EBSCOhost" "JPSP" 0 2012 2010-12-20 0 2 0 0 0 0
"Anchoring and adjustment during social inferences  EBSCOhost" "JEPG" 0 2013 2011-12-11 0 8 0 0 0 0
"Anger toward God  Social-cognitive predictors, prevalence, and links with a...  EBSCOhost" "JPSP" 0 2011 2009-07-13 0 44 8 1 18.18 2.27
"Angry, Disgusted, or Afraid " "PS" 1 2008 2007-08-22 0 15 2 0 13.33 0
"Animals and Androids" "PS" 1 2007 2006-04-03 0 17 1 1 5.88 5.88
"Another look at why people are reluctant to exchange lottery tickets  EBSCOhost" "JPSP" 0 2007 2006-02-06 0 13 0 0 0 0
"Anti-Expression Aftereffects Reveal Prototype-Referenced Coding of Facial Expressions" "PS" 1 2010 2009-12-07 0 1 1 0 100 0
"Anticipating by Pigeons Depends on Local Statistical Information in a Seria...  EBSCOhost" "JEPG" 0 2004 2002-12-20 0 12 4 0 33.33 0
"Anticipatory Anxiety Hinders Detection of a Second Target in Dual-Target Search" "PS" 1 2011 2010-11-30 0 8 4 0 50 0
"Antigravity Hills are Visual Illusions" "PS" 1 2003 2002-01-29 0 2 0 0 0 0
"Anxiety and the interpretation of ambiguous information  Beyond the emotion...  EBSCOhost" "JEPG" 0 2003 2002-05-08 0 47 15 5 31.91 10.64
"Anxiety Moderates the Interplay Between Cognitive and Affective Processing" "PS" 1 2007 2006-02-14 0 8 2 1 25 12.5
"Anxiety, advice, and the ability to discern  Feeling anxious motivates indi...  EBSCOhost" "JPSP" 0 2012 2010-03-30 0 61 1 0 1.64 0
"Anxious uncertainty and reactive approach motivation (RAM)  EBSCOhost" "JPSP" 0 2010 2009-08-01 0 10 0 0 0 0
"Apocalypse Soon " "PS" 1 2011 2010-05-25 0 9 0 0 0 0
"Apparent Universality of Positive Implicit Self-Esteem" "PS" 1 2007 2006-08-14 0 3 0 0 0 0
"Appearing Truthful Generalizes Across Different Deception Situations  EBSCOhost" "JPSP" 0 2004 2002-06-07 0 2 0 0 0 0
"Applying the attractor field model to social cognition  Perceptual discrimi...  EBSCOhost" "JPSP" 0 2007 2006-09-26 0 21 1 0 4.76 0
"Applying the value of equality unequally  Effects of value instantiations t...  EBSCOhost" "JPSP" 0 2009 2005-12-01 0 39 0 0 0 0
"Arbitrary Social Norms Influence Sex Differences in Romantic Selectivity" "PS" 1 2009 2009-01-12 0 3 1 0 33.33 0
"Are 2D 4D finger-length ratios related to sexual orientation  Yes for men, ...  EBSCOhost" "JPSP" 0 2003 2002-06-19 0 21 13 0 61.9 0
"Are all interventions created equal  A multi-threat approach to tailoring s...  EBSCOhost" "JPSP" 0 2013 2011-04-29 0 20 2 0 10 0
"Are Coarse Scales Sufficient for Fast Detection of Visual Threat " "PS" 1 2010 2008-11-10 0 5 0 0 0 0
