"source" "journal" "statcheck_journal" "year_published" "date_received" "period" "nr_nhst" "nr_errors" "nr_dec_errors" "perc_errors" "perc_dec_errors"
"Acting Intentionally and the Side-Effect Effect" "PS" 1 2006 2004-12-09 0 12 4 1 33.33 8.33
"Acting on Anger" "PS" 1 2013 2012-05-15 0 14 0 0 0 0
"Action Anticipation Through Attribution of False Belief by 2-Year-Olds" "PS" 1 2007 2006-07-07 0 1 0 0 0 0
"Action Can Affect Auditory Perception" "PS" 1 2007 2006-04-27 0 3 2 0 66.67 0
"Action Dynamics Reveal Parallel Competition in Decision Making" "PS" 1 2008 2007-06-01 0 4 0 0 0 0
"Action Understanding in the Superior Temporal Sulcus Region" "PS" 1 2009 2008-08-05 0 4 0 0 0 0
"Action embellishment  An intention bias in the perception of success  EBSCOhost" "JPSP" 0 2011 2007-08-12 0 38 3 2 7.89 5.26
"Activation of Face Expertise and the Inversion Effect" "PS" 1 2006 2005-02-01 0 7 1 0 14.29 0
"Active masks and active inhibition  A comment on Lleras and Enns (2004) and...  EBSCOhost" "JEPG" 0 2006 2004-09-03 0 15 0 0 0 0
"Actor-observer asymmetries in explanations of behavior  New answers to an o...  EBSCOhost" "JPSP" 0 2007 2006-11-28 0 34 1 0 2.94 0
"Acute Anxiety Impairs Accuracy in Identifying Photographed Faces" "PS" 1 2013 2012-09-21 0 6 0 0 0 0
"Acute Stress Modulates Risk Taking in Financial Decision Making" "PS" 1 2009 2007-11-30 0 14 0 0 0 0
"Adaptation to Faces and Voices" "PS" 1 2013 2012-06-29 0 22 0 0 0 0
"Adaptive reward pursuit  How effort requirements affect unconscious reward ...  EBSCOhost" "JEPG" 0 2012 2011-05-30 0 35 0 0 0 0
"Adding Small Differences Can Increase Similarity and Choice" "PS" 1 2013 2012-03-07 0 9 0 0 0 0
"Adjusting to death  The effects of mortality salience and self-esteem on ps...  EBSCOhost" "JPSP" 0 2010 2009-12-02 0 9 3 1 33.33 11.11
"Advance Preparation in Task Switching" "PS" 1 2004 2003-06-12 0 37 1 1 2.7 2.7
"Affect as information in persuasion  A model of affect identification and d...  EBSCOhost" "JPSP" 0 2003 2002-03-29 0 34 9 1 26.47 2.94
"Affective Flexibility" "PS" 1 2008 2007-03-29 0 26 13 1 50 3.85
"Affective Influences on the Attentional Dynamics Supporting Awareness  EBSCOhost" "JEPG" 0 2005 2000-12-11 0 11 1 0 9.09 0
"Affective Signals of Threat Increase Perceived Proximity" "PS" 1 2013 2012-01-21 0 15 1 0 6.67 0
"Affective and cognitive meta-bases of attitudes  Unique effects on informat...  EBSCOhost" "JPSP" 0 2008 2006-10-13 0 41 4 0 9.76 0
"Affective incoherence  When affective concepts and embodied reactions clash  EBSCOhost" "JPSP" 0 2008 2006-09-02 0 59 17 0 28.81 0
"Affirmation of Personal Values Buffers Neuroendocrine and Psychological Stress Responses" "PS" 1 2005 2004-11-29 0 25 1 0 4 0
"Affirmation, acknowledgment of in-group responsibility, group-based guilt, ...  EBSCOhost" "JPSP" 0 2011 2010-05-04 0 24 6 0 25 0
"Affirmed yet unaware  Exploring the role of awareness in the process of sel...  EBSCOhost" "JPSP" 0 2009 2008-05-07 0 45 19 9 42.22 20
"Age, Race, and Implicit Prejudice" "PS" 1 2009 2008-05-06 0 6 0 0 0 0
"Age-Related Changes in Attentional Reference Frames for Peripersonal Space" "PS" 1 2013 2012-02-26 0 6 0 0 0 0
"Agency and communion from the perspective of self versus others  EBSCOhost" "JPSP" 0 2007 2006-05-15 0 31 1 0 3.23 0
"Aging Neuromodulation Impairs Associative Binding" "PS" 1 2005 2004-06-03 0 1 0 0 0 0
"Aging and Attentional Biases for Emotional Faces" "PS" 1 2003 2002-04-08 0 6 0 0 0 0
"Aging and Wisdom" "PS" 1 2012 2011-12-28 0 10 1 0 10 0
"Aging and emotional memory  The forgettable nature of negative images for o...  EBSCOhost" "JEPG" 0 2003 2002-02-11 0 71 10 0 14.08 0
"Aging, Subjective Experience, and Cognitive Control  Dramatic False Remembe...  EBSCOhost" "JEPG" 0 2005 2003-08-12 0 24 1 0 4.17 0
"Alcohol and Aggression" "PS" 1 2007 2006-04-24 0 1 0 0 0 0
"Alcohol and Aggression Without Consumption" "PS" 1 2006 2004-11-17 0 9 0 0 0 0
"Alcohol and Group Formation" "PS" 1 2012 2011-09-23 0 6 2 0 33.33 0
"Alexithymia, Not Autism, Predicts Poor Recognition of Emotional Facial Expressions" "PS" 1 2013 2012-06-17 0 14 0 0 0 0
"All roads lead to Rome  The impact of multiple attainment means on motivati...  EBSCOhost" "JPSP" 0 2013 2012-04-10 0 41 1 0 2.44 0
"Alone but feeling no pain  Effects of social exclusion on physical pain tol...  EBSCOhost" "JPSP" 0 2006 2005-02-24 0 53 2 0 3.77 0
"Alone in a crowd of sheep  Asymmetric perceptions of conformity and their r...  EBSCOhost" "JPSP" 0 2007 2005-06-06 0 38 2 0 5.26 0
"Altering Context Speech Rate Can Cause Words to Appear or Disappear" "PS" 1 2010 2009-12-14 0 6 0 0 0 0
"Altruism in the wild_ When affiliative motives to help positive people over..._ EBSCOhost" "JEPG" 0 2013 2013-01-25 0 7 2 0 28.57 0
"Ambiguity in Social Categorization" "PS" 1 2004 NA NA 7 1 0 14.29 0
"Ambiguous Group Membership Is Extracted Automatically From Faces" "PS" 1 2009 2008-07-05 0 7 1 0 14.29 0
"Ambiguous Pronoun Resolution" "PS" 1 2005 2004-03-09 0 4 0 0 0 0
"American = White   EBSCOhost" "JPSP" 0 2005 2003-09-15 0 35 2 1 5.71 2.86
"Amodal Completion in Visual Search" "PS" 1 2004 NA NA 7 1 0 14.29 0
"Amputees “Neglect” the Space Near Their Missing Hand" "PS" 1 2010 2009-04-09 0 2 2 0 100 0
"Amygdala Responses to Emotionally Valenced Stimuli in Older and Younger Adults" "PS" 1 2004 NA NA 3 0 0 0 0
"An Adaptive Cognitive Dissociation Between Willingness to Help Kin and Nonkin in Samoan Fa’afafine" "PS" 1 2010 2008-12-03 0 14 0 0 0 0
"An Age-Related Deficit in Prefrontal Cortical Function Associated With Refreshing Information" "PS" 1 2004 2002-10-01 0 6 1 0 16.67 0
"An Ambiguous-Race Illusion in Children's Face Memory" "PS" 1 2007 2006-10-22 0 11 0 0 0 0
"An Attentional Mechanism for Selecting Appropriate Actions Afforded by Graspable Objects" "PS" 1 2008 2008-05-01 0 4 0 0 0 0
"An Integration of Color and Motion Information in Visual Scene Analyses" "PS" 1 2011 2010-03-05 0 4 0 0 0 0
"An Online Measure of Thought Suppression  EBSCOhost" "JPSP" 0 2005 2001-07-17 0 3 0 0 0 0
"An Upside to Adversity " "PS" 1 2013 2012-04-02 0 2 0 0 0 0
"An electrophysiological signature of summed similarity in visual working me...  EBSCOhost" "JEPG" 0 2013 2011-06-25 0 25 1 0 4 0
"An inkblot for attitudes  Affect misattribution as implicit measurement  EBSCOhost" "JPSP" 0 2005 2004-08-30 0 38 2 0 5.26 0
"Analogical and category-based inference  A theoretical integration with Bay...  EBSCOhost" "JEPG" 0 2010 2009-11-09 0 20 1 0 5 0
"Anchoring and adjustment during social inferences  EBSCOhost" "JEPG" 0 2013 2011-12-11 0 8 0 0 0 0
"Angry, Disgusted, or Afraid " "PS" 1 2008 2007-08-22 0 15 2 0 13.33 0
"Animals and Androids" "PS" 1 2007 2006-04-03 0 17 1 1 5.88 5.88
"Another look at why people are reluctant to exchange lottery tickets  EBSCOhost" "JPSP" 0 2007 2006-02-06 0 13 0 0 0 0
"Anti-Expression Aftereffects Reveal Prototype-Referenced Coding of Facial Expressions" "PS" 1 2010 2009-12-07 0 1 1 0 100 0
"Anticipating by Pigeons Depends on Local Statistical Information in a Seria...  EBSCOhost" "JEPG" 0 2004 2002-12-20 0 12 4 0 33.33 0
"Anticipatory Anxiety Hinders Detection of a Second Target in Dual-Target Search" "PS" 1 2011 2010-11-30 0 8 2 0 25 0
"Antigravity Hills are Visual Illusions" "PS" 1 2003 2002-01-29 0 2 0 0 0 0
"Anxiety Moderates the Interplay Between Cognitive and Affective Processing" "PS" 1 2007 2006-02-14 0 8 2 1 25 12.5
"Anxiety and the interpretation of ambiguous information  Beyond the emotion...  EBSCOhost" "JEPG" 0 2003 2002-05-08 0 47 14 4 29.79 8.51
"Anxiety, advice, and the ability to discern  Feeling anxious motivates indi...  EBSCOhost" "JPSP" 0 2012 2010-03-30 0 61 1 0 1.64 0
"Apocalypse Soon " "PS" 1 2011 2010-05-25 0 9 0 0 0 0
"Apparent Universality of Positive Implicit Self-Esteem" "PS" 1 2007 2006-08-14 0 3 0 0 0 0
"Applying the attractor field model to social cognition  Perceptual discrimi...  EBSCOhost" "JPSP" 0 2007 2006-09-26 0 21 1 0 4.76 0
"Applying the value of equality unequally  Effects of value instantiations t...  EBSCOhost" "JPSP" 0 2009 2005-12-01 0 39 0 0 0 0
"Arbitrary Social Norms Influence Sex Differences in Romantic Selectivity" "PS" 1 2009 2009-01-12 0 3 0 0 0 0
"Are Coarse Scales Sufficient for Fast Detection of Visual Threat " "PS" 1 2010 2008-11-10 0 5 0 0 0 0
"Are Forensic Experts Biased by the Side That Retained Them " "PS" 1 2013 2012-09-17 0 12 2 0 16.67 0
"Are Plasma Oxytocin in Women and Plasma Vasopressin in Men Biomarkers of Distressed Pair-Bond Relationships " "PS" 1 2010 2009-03-05 0 5 0 0 0 0
"Are Probabilities Overweighted or Underweighted When Rare Outcomes Are Experienced (Rarely) " "PS" 1 2009 2007-11-07 0 13 0 0 0 0
"Are Representations in Working Memory Distinct From Representations in Long-Term Memory " "PS" 1 2010 2009-01-06 0 13 2 0 15.38 0
"Are We More Moral Than We Think " "PS" 1 2011 2010-08-19 0 5 0 0 0 0
"Are numbers gendered   EBSCOhost" "JEPG" 0 2012 2011-01-23 0 18 1 0 5.56 0
"Are people excessive or judicious in their egocentrism  A modeling approach...  EBSCOhost" "JPSP" 0 2008 2007-09-10 0 38 0 0 0 0
"Are self-enhancing cognitions associated with healthy or unhealthy biologic...  EBSCOhost" "JPSP" 0 2003 2002-09-25 0 40 7 6 17.5 15
"Arousal Increases Social Transmission of Information" "PS" 1 2011 2011-01-24 0 5 0 0 0 0
"Art and authenticity  The importance of originals in judgments of value  EBSCOhost" "JEPG" 0 2012 2011-05-02 0 26 1 0 3.85 0
"As Pleasure Unfolds" "PS" 1 2010 2009-08-17 0 18 0 0 0 0
"Assessing the Seeds of Relationship Decay" "PS" 1 2010 2009-08-03 0 6 0 0 0 0
"Assessing the Validity of Implicit Egotism  A Reply to Gallucci (2003)  EBSCOhost" "JPSP" 0 2003 2003-03-01 0 3 0 0 0 0
"Assimilation for Affiliation and Contrast for Control  Complementary Self-C...  EBSCOhost" "JPSP" 0 2003 2002-08-26 0 38 1 0 2.63 0
"Associating Unseen Events" "PS" 1 2005 2003-09-11 0 3 0 0 0 0
"Association Between Polymorphisms in the Dopamine Transporter Gene and Depression" "PS" 1 2008 2007-01-08 0 4 0 0 0 0
"Associative Repetition Priming as a Measure of Human Contingency Learning  ...  EBSCOhost" "JEPG" 0 2012 2011-02-15 0 20 2 0 10 0
"Associative and Categorical Relations in the Associative Memory Illusion" "PS" 1 2005 2003-09-22 0 34 0 0 0 0
"Associative and strategic components of episodic memory  A life-span dissoc...  EBSCOhost" "JEPG" 0 2008 2007-10-02 0 74 1 0 1.35 0
"Asymmetric Discounting in Intertemporal Choice" "PS" 1 2007 2006-04-25 0 8 1 0 12.5 0
"Asymmetries in predictive and diagnostic reasoning  EBSCOhost" "JEPG" 0 2011 2009-12-17 0 46 1 0 2.17 0
"Asymmetry in Judgments of Moral Blame and Praise" "PS" 1 2003 2002-03-13 0 20 1 0 5 0
"Asymmetry in Resting Intracortical Activity as a Buffer to Social Threat" "PS" 1 2011 2010-10-01 0 15 4 1 26.67 6.67
"At the boundaries of automaticity  Negation as reflective operation  EBSCOhost" "JPSP" 0 2006 2005-05-01 0 61 4 0 6.56 0
"Attachment Anxiety Is Linked to Alterations in Cortisol Production and Cellular Immunity" "PS" 1 2013 2011-12-16 0 10 0 0 0 0
"Attachment Working Models Twist Memories of Relationship Events" "PS" 1 2010 2008-12-04 0 10 0 0 0 0
"Attachment orientations and depression  A longitudinal study of new parents  EBSCOhost" "JPSP" 0 2011 2010-03-26 0 8 1 0 12.5 0
"Attention  Reaction Time and Accuracy Reveal Different Mechanisms  EBSCOhost" "JEPG" 0 2005 2003-11-26 0 47 6 1 12.77 2.13
"Attention Affects Visual Perceptual Processing Near the Hand" "PS" 1 2010 2009-09-03 0 9 0 0 0 0
"Attention Can Retrospectively Distort Visual Space" "PS" 1 2011 2010-07-11 0 5 0 0 0 0
"Attention Is Spontaneously Biased Toward Regularities" "PS" 1 2013 2012-03-18 0 24 2 0 8.33 0
"Attention Restores Discrete Items to Visual Short-Term Memory" "PS" 1 2013 2011-10-09 0 5 0 0 0 0
"Attention Speeds Binocular Rivalry" "PS" 1 2006 2005-10-25 0 1 0 0 0 0
"Attention and Anxiety" "PS" 1 2010 2009-02-27 0 13 1 0 7.69 0
"Attention and the Evolution of Hollywood Film" "PS" 1 2010 2009-04-07 0 2 0 0 0 0
"Attention and the Processing of Emotional Words and Names" "PS" 1 2004 2001-10-17 0 19 1 0 5.26 0
"Attention and working memory capacity  Insights from blocking, highlighting...  EBSCOhost" "JEPG" 0 2012 2011-03-31 0 9 0 0 0 0
"Attention control, memory updating, and emotion regulation temporarily redu...  EBSCOhost" "JEPG" 0 2007 2006-01-04 0 22 0 0 0 0
"Attentional Capture Does Not Depend on Feature Similarity, but on Target-Nontarget Relations" "PS" 1 2013 2011-12-14 0 24 3 0 12.5 0
"Attentional Enhancement Opposite a Peripheral Flash Revealed Using Change Blindness" "PS" 1 2003 2001-06-02 0 1 0 0 0 0
"Attentional Inhibition Has Social-Emotional Consequences for Unfamiliar Faces" "PS" 1 2005 2004-04-05 0 6 0 0 0 0
"Attentional Rhythm  A Temporal Analogue of Object-Based Attention  EBSCOhost" "JEPG" 0 2013 2012-11-09 0 10 2 0 20 0
"Attentional episodes in visual perception  EBSCOhost" "JEPG" 0 2011 2010-07-26 0 4 0 0 0 0
"Attentional flexibility during approach and avoidance motivational states_ ..._ EBSCOhost" "JEPG" 0 2013 2013-05-13 0 76 4 0 5.26 0
"Attentional processes in stereotype formation  A common model for category ...  EBSCOhost" "JPSP" 0 2009 2007-03-27 0 33 8 4 24.24 12.12
"Attentional sensitization of unconscious cognition  Task sets modulate subs...  EBSCOhost" "JEPG" 0 2010 2008-07-18 0 49 14 0 28.57 0
"Attentional-Tracking Acuity Is Modulated by Illusory Changes in Perceived Speed" "PS" 1 2013 2012-02-08 0 8 5 0 62.5 0
"Attentive Tracking of Objects Versus Substances" "PS" 1 2003 2002-07-07 0 14 1 0 7.14 0
"Attenuating the Link Between Threatened Egotism and Aggression" "PS" 1 2006 2005-09-15 0 20 2 1 10 5
"Attitude Formation Through Exploration  Valence Asymmetries  EBSCOhost" "JPSP" 0 2004 2004-02-23 0 84 1 0 1.19 0
"Attitude Importance and the Accumulation of Attitude-Relevant Knowledge in ...  EBSCOhost" "JPSP" 0 2005 2002-12-12 0 50 4 3 8 6
"Attitudes in the Social Context  The Impact of Social Network Composition o...  EBSCOhost" "JPSP" 0 2004 2003-04-13 0 28 0 0 0 0
"Attributing False Beliefs About Object Identity Reveals a Signature Blind Spot in Humans’ Efficient Mind-Reading System" "PS" 1 2013 2012-01-25 0 13 3 0 23.08 0
"Attribution of Beliefs by 13-Month-Old Infants" "PS" 1 2007 2006-07-25 0 9 0 0 0 0
"Attribution of Dispositional States by 12-Month-Olds" "PS" 1 2003 2002-06-04 0 3 0 0 0 0
"Audience-tuning effects on memory  The role of shared reality  EBSCOhost" "JPSP" 0 2005 2004-06-09 0 63 2 1 3.17 1.59
"Auditory Change Detection  Simple Sounds Are Not Memorized Better Than Complex Sounds" "PS" 1 2008 2007-05-11 0 11 0 0 0 0
"Automatic Semantic Activation Is No Myth" "PS" 1 2004 2003-10-14 0 4 0 0 0 0
"Automatic and controlled components of judgment and decision making  EBSCOhost" "JPSP" 0 2006 2005-05-01 0 6 0 0 0 0
"Automatic and controlled response inhibition  Associative learning in the g...  EBSCOhost" "JEPG" 0 2008 2007-11-14 0 12 1 0 8.33 0
"Automatic effort mobilization and the principle of resource conservation  O...  EBSCOhost" "JPSP" 0 2013 2012-07-23 0 31 1 0 3.23 0
"Automatic for the people  How representations of significant others implici...  EBSCOhost" "JPSP" 0 2003 2002-04-01 0 81 6 3 7.41 3.7
"Automatic optimism  The affective basis of judgments about the likelihood o...  EBSCOhost" "JEPG" 0 2009 2008-04-29 0 38 2 0 5.26 0
"Automatic prejudice in childhood and early adolescence  EBSCOhost" "JPSP" 0 2010 2009-02-10 0 79 9 2 11.39 2.53
"Automatic processing of psychological distance  Evidence from a Stroop task  EBSCOhost" "JEPG" 0 2007 2006-08-02 0 22 4 0 18.18 0
"Automatic social behavior as motivated preparation to interact  EBSCOhost" "JPSP" 0 2006 2004-10-27 0 24 1 0 4.17 0
"Automation Can Lead to Confounds in Text Analysis" "PS" 1 2011 2010-09-20 0 2 1 0 50 0
